X,force,cooperation,welfare,military,tie,economy,price,tension,trade,Total Count w/ Actions,Total Count Overall
urge,100-0,100-0,100-0,20-80,93-7,93-7,92-8,68-32,100-0,700,58778
join,20-80,100-0,100-0,,74-26,95-5,30-70,98-2,92-8,389,66174
allow,91-9,100-0,,0-100,95-5,95-5,54-46,97-3,84-16,600,111694
evacuate,,,,,0-100,,,100-0,,13,6771
sign,100-0,100-0,,,99-1,58-42,24-76,52-48,96-4,1238,80125
leave,9-91,67-33,,,83-17,92-8,71-29,96-4,77-23,428,136655
warn,100-0,100-0,,,89-11,89-11,67-33,89-11,67-33,363,56843
accuse,100-0,100-0,,100-0,57-43,100-0,98-2,100-0,100-0,636,68682
kill,100-0,100-0,,27-73,67-33,0-100,50-50,100-0,,454,185775
summon,,,,,0-100,,,97-3,,36,6308
target,100-0,100-0,,,92-8,83-17,,83-17,100-0,123,41859